0,ACE,antigen present,
1,ACTR10,antigen present,
2,ACTR1A,antigen present,
3,ACTR1B,antigen present,
4,AP1B1,antigen present,
5,AP1G1,antigen present,
6,AP1M1,antigen present,
7,AP1M2,antigen present,
8,AP1S1,antigen present,
9,AP1S2,antigen present,
10,AP1S3,antigen present,
11,AP2A1,antigen present,
12,AP2A2,antigen present,
13,AP2B1,antigen present,
14,AP2M1,antigen present,
15,AP2S1,antigen present,
16,AP3B1,antigen present,
17,AP3D1,antigen present,
18,ARF1,antigen present,
19,ATG5,antigen present,
20,AZGP1,antigen present,
21,B2M,immunomodulators,CSF1_response
22,BCAP31,antigen present,
23,CALR,antigen present,
24,CANX,antigen present,
25,CAPZA1,antigen present,
26,CAPZA2,antigen present,
27,CAPZA3,antigen present,
28,CAPZB,antigen present,
29,CCL19,antigen present,
30,CCL21,antigen present,
31,CCR7,antigen present,
32,CD1A,antigen present,
33,CD1B,antigen present,
34,CD1C,antigen present,
35,CD1D,antigen present,
36,CD1E,antigen present,
37,CD207,antigen present,
38,CD209,cell type,
39,CD36,antigen present,
40,CD68,cell type,
41,CD74,antigen present,
42,CD8A,cell type,CSF1_response
43,CENPE,antigen present,
44,CHUK,antigen present,
45,CLEC4A,antigen present,
46,CLEC4M,antigen present,
47,CLTA,antigen present,
48,CLTC,antigen present,
49,CTSD,antigen present,
50,CTSE,antigen present,
51,CTSF,antigen present,
52,CTSH,antigen present,
53,CTSL,immunomodulators,CSF1_response
54,CTSS,immunomodulators,CSF1_response
55,CTSV,antigen present,
56,CYBA,antigen present,
57,CYBB,immunomodulators,CSF1_response
58,DCTN1,antigen present,
59,DCTN2,antigen present,
60,DCTN3,antigen present,
61,DCTN4,antigen present,
62,DCTN5,antigen present,
63,DCTN6,antigen present,
64,DNM2,antigen present,
65,DYNC1H1,antigen present,
66,DYNC1I1,antigen present,
67,DYNC1I2,antigen present,
68,DYNC1LI1,antigen present,
69,DYNC1LI2,antigen present,
70,DYNLL1,antigen present,
71,DYNLL2,antigen present,
72,ERAP1,antigen present,
73,ERAP2,antigen present,
74,FCER1G,immunomodulators,CSF1_response
75,FCGR1A,immunomodulators,CSF1_response
76,FCGR1B,antigen present,
77,FCGR2B,immunomodulators,CSF1_response
78,FCGRT,antigen present,
79,FGL2,immunomodulators,CSF1_response
80,HFE,antigen present,
81,HLA.DMA,antigen present,
82,HLA.DMB,antigen present,
83,HLA.DOA,antigen present,
84,HLA.DOB,antigen present,
85,HLA.DPA1,antigen present,
86,HLA.DPB1,antigen present,
87,HLA.DQA1,antigen present,
88,HLA.DQA2,antigen present,
89,HLA.DQB1,antigen present,
90,HLA.DQB2,antigen present,
91,HLA.DRA,antigen present,
92,HLA.DRB1,antigen present,
93,HLA.DRB3,antigen present,
94,HLA.DRB4,antigen present,
95,HLA.DRB5,antigen present,
96,HLA.E,antigen present,
97,HLA.F,antigen present,
98,HLA.G,antigen present,
99,HLA.H,antigen present,
100,ICAM1,immune checkpoint,TGFB_score_21050467
101,IDE,antigen present,
102,IFI30,immunomodulators,CSF1_response
103,IKBKB,antigen present,
104,IKBKG,antigen present,
105,ITGAV,antigen present,
106,ITGB5,immunomodulators,TGFB_score_21050467
107,KIF11,antigen present,
108,KIF15,antigen present,
109,KIF18A,antigen present,
110,KIF22,antigen present,
111,KIF23,antigen present,
112,KIF26A,antigen present,
113,KIF2A,antigen present,
114,KIF2B,antigen present,
115,KIF2C,antigen present,
116,KIF3A,antigen present,
117,KIF3B,antigen present,
118,KIF3C,antigen present,
119,KIF4A,antigen present,
120,KIF4B,antigen present,
121,KIF5A,antigen present,
122,KIFAP3,antigen present,
123,KLC1,antigen present,
124,KLC2,antigen present,
125,LAG3,immune checkpoint,
126,LGMN,antigen present,
127,LILRB2,antigen present,
128,LNPEP,antigen present,
129,MARCHF1,antigen present,
130,MICA,immune checkpoint,
131,MICB,immune checkpoint,
132,MR1,antigen present,
133,NCF1,antigen present,
134,NCF2,immunomodulators,CSF1_response
135,NCF4,antigen present,
136,NOD1,antigen present,
137,NOD2,antigen present,
138,OSBPL1A,antigen present,
139,PDIA3,antigen present,
140,PSMA1,antigen present,
141,PSMA2,antigen present,
142,PSMA3,antigen present,
143,PSMA4,antigen present,
144,PSMA5,antigen present,
145,PSMA6,antigen present,
146,PSMA7,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP
147,PSMA8,antigen present,
148,PSMB1,antigen present,
149,PSMB10,antigen present,
150,PSMB11,antigen present,
151,PSMB2,antigen present,
152,PSMB3,antigen present,
153,PSMB4,antigen present,
154,PSMB5,antigen present,
155,PSMB6,antigen present,
156,PSMB7,antigen present,
157,PSMB8,antigen present,
158,PSMB9,antigen present,
159,PSMC1,antigen present,
160,PSMC2,antigen present,
161,PSMC3,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP
162,PSMC4,antigen present,
163,PSMC5,antigen present,
164,PSMC6,antigen present,
165,PSMD1,antigen present,
166,PSMD10,antigen present,
167,PSMD11,antigen present,
168,PSMD12,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP
169,PSMD13,antigen present,
170,PSMD14,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP
171,PSMD2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP
172,PSMD3,antigen present,
173,PSMD4,antigen present,
174,PSMD5,antigen present,
175,PSMD6,antigen present,
176,PSMD7,antigen present,
177,PSMD8,antigen present,
178,PSMD9,antigen present,
179,PSME1,antigen present,
180,PSME2,antigen present,
181,PSME3,antigen present,
182,PSME4,antigen present,
183,PSMF1,antigen present,
184,PYCARD,antigen present,
185,RAB10,antigen present,
186,RAB27A,antigen present,
187,RAB32,antigen present,
188,RAB33A,antigen present,
189,RAB34,antigen present,
190,RAB35,antigen present,
191,RAB3B,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP
192,RAB3C,antigen present,
193,RAB4A,antigen present,
194,RAB5B,antigen present,
195,RAB6A,antigen present,
196,RAB7A,antigen present,
197,RAB8B,antigen present,
198,RACGAP1,antigen present,
199,RELB,antigen present,
200,RFTN1,antigen present,
